Year,Conference,Place,School
2023,Cascade Collegiate Conference,7,Corban (Ore.) - Mens
2023,Cascade Collegiate Conference,9,Arizona Christian University - Mens
2023,Cascade Collegiate Conference,10,Simpson (Calif.) - Mens
2023,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2023,Great Plains Athletic Conference,2,Morningside (Iowa) - Mens
2023,Great Plains Athletic Conference,3,Briar Cliff (Iowa) - Mens
2023,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2023,Great Plains Athletic Conference,5,Northwestern (Iowa) - Mens
2023,Great Plains Athletic Conference,6,Concordia (Neb.) - Mens
2023,Great Plains Athletic Conference,8,Hastings (Neb.) - Mens
2023,Great Plains Athletic Conference,9,Midland (Neb.) - Mens
2023,Great Plains Athletic Conference,10,Waldorf (Iowa) - Mens
2023,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2023,Heart of America Athletic Conference,2,Missouri Valley College
2023,Heart of America Athletic Conference,3,Missouri Baptist University - Mens
2023,Heart of America Athletic Conference,3,Graceland (Iowa) - Mens
2023,Heart of America Athletic Conference,4,Central Methodist (Mo.) - Mens
2023,Heart of America Athletic Conference,5,Baker (Kan.) - Mens
2023,Heart of America Athletic Conference,6,Dickinson State (N.D.) - Mens
2023,Heart of America Athletic Conference,7,William Penn (Iowa) - Mens
2023,Heart of America Athletic Conference,8,Benedictine (Kan.) - Mens
2023,Heart of America Athletic Conference,9,St. Ambrose University - Mens
2023,Kansas Collegiate Athletic Conference,1,Ottawa (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,2,Saint Mary (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,3,Avila (Mo.) - Mens
2023,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2023,Kansas Collegiate Athletic Conference,5,York (Neb.) - Mens
2023,Kansas Collegiate Athletic Conference,6,Friends (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,7,Bethany (Kan.) - Mens
2023,Kansas Collegiate Athletic Conference,7,Jamestown (N.D.) - Mens
2023,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2023,Mid-South Conference,2,Cumberland (Tenn.) - Mens
2023,Mid-South Conference,3,Cumberlands (Ky.) - Mens
2023,Mid-South Conference,4,Lindsey Wilson (Ky.) - Mens
2023,Mid-South Conference,5,Midway (Ky.) - Mens
2023,Mid-South Conference,6,Rio Grande (Ohio) - Mens
2023,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2023,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2023,Wolverine-Hoosier Athletic Conference,3,Lourdes (Ohio) - Mens
2023,Wolverine-Hoosier Athletic Conference,5,Cornerstone (Mich.) - Mens
2023,Wolverine-Hoosier Athletic Conference,6,Siena Heights (Mich.) - Mens
2023,Wolverine-Hoosier Athletic Conference,7,Cleary (Mich.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2024,American Midwest Conference/Sooner Athletic Conference,3,Wayland Baptist (Texas) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,4,Texas Wesleyan University - Mens
2024,American Midwest Conference/Sooner Athletic Conference,5,William Woods (Mo.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,6,Central Baptist (Ark.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,7,Jarvis Christian (Texas) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,8,Williams Baptist (Ark.) - Mens
2024,American Midwest Conference/Sooner Athletic Conference,9,Central Christian (Kan.) - Mens
2024,Appalachian Athletic Conference,1,Life (Ga.) - Mens
2024,Appalachian Athletic Conference,2,Southeastern (Fla.) - Mens
2024,Appalachian Athletic Conference,3,Reinhardt (Ga.) - Mens
2024,Appalachian Athletic Conference,4,St. Thomas (Fla.) - Mens
2024,Appalachian Athletic Conference,5,Keiser (Fla.) - Mens
2024,Appalachian Athletic Conference,6,Brewton-Parker (Ga.) - Mens
2024,Appalachian Athletic Conference,7,Truett McConnell (Ga.) - Mens
2024,Appalachian Athletic Conference,8,Pikeville (Ky.) - Mens
2024,Appalachian Athletic Conference,9,WVU Tech (W.Va) - Mens
2024,Appalachian Athletic Conference,10,Montreat (N.C.) - Mens
2024,Cascade Collegiate Conference,1,Providence (Mont.) - Mens
2024,Cascade Collegiate Conference,2,Embry-Riddle (Ariz.) - Mens
2024,Cascade Collegiate Conference,3,Southern Oregon University - Mens
2024,Cascade Collegiate Conference,4,Corban (Ore.) - Mens
2024,Cascade Collegiate Conference,5,Montana State-Northern - Mens
2024,Cascade Collegiate Conference,6,Eastern Oregon University - Mens
2024,Cascade Collegiate Conference,7,Arizona Christian University - Mens
2024,Cascade Collegiate Conference,8,Simpson (Calif.) - Mens
2024,Cascade Collegiate Conference,9,Westcliff (Calif.) - Mens
2024,Cascade Collegiate Conference,10,Evergreen State (Wash.) - Mens
2024,Great Plains Athletic Conference,1,Doane (Neb.) - Mens
2024,Great Plains Athletic Conference,2,Concordia (Neb.) - Mens
2024,Great Plains Athletic Conference,3,Morningside (Iowa) - Mens
2024,Great Plains Athletic Conference,4,Dakota Wesleyan (S.D.) - Mens
2024,Great Plains Athletic Conference,5,Hastings (Neb.) - Mens
2024,Great Plains Athletic Conference,6,Briar Cliff (Iowa) - Mens
2024,Great Plains Athletic Conference,7,Northwestern (Iowa) - Mens
2024,Great Plains Athletic Conference,8,Midland (Neb.) - Mens
2024,Great Plains Athletic Conference,9,Waldorf (Iowa) - Mens
2024,Heart of America Athletic Conference,1,Grand View (Iowa) - Mens
2024,Heart of America Athletic Conference,2,Missouri Baptist University - Mens
2024,Heart of America Athletic Conference,2,Missouri Valley College
2024,Heart of America Athletic Conference,3,Central Methodist (Mo.) - Mens
2024,Heart of America Athletic Conference,4,Graceland (Iowa) - Mens
2024,Heart of America Athletic Conference,5,Dickinson State (N.D.) - Mens
